PERSON_ID,DISPLAY_FIRST_LAST,BIRTHDATE,SCHOOL,COUNTRY,HEIGHT,WEIGHT,SEASON_EXP,JERSEY,POSITION,FROM_YEAR,DRAFT_YEAR
1630535,Greg Brown III,2001-09-01,Texas-Austin,USA,6-7,206,0,4,Forward,2021,2021
1628972,Troy Brown Jr.,1999-07-28,Oregon,USA,6-6,215,3,7,Guard-Forward,2018,2018
1628973,Jalen Brunson,1996-08-31,Villanova,USA,6-1,190,3,13,Guard,2018,2018
1629091,Elijah Bryant,1995-04-19,Brigham Young,USA,6-5,210,2,3,Guard,2020,Undrafted
1628418,Thomas Bryant,1997-07-31,Indiana,USA,6-10,248,4,13,Center-Forward,2017,2017
1629783,Shaq Buchanan,1997-01-30,Murray State,USA,6-3,190,0,,Guard,2021,Undrafted
203493,Reggie Bullock,1991-03-16,North Carolina,USA,6-6,205,8,25,Guard-Forward,2013,2013
203504,Trey Burke,1992-11-12,Michigan,USA,6-0,185,8,3,Guard,2013,2013
202692,Alec Burks,1991-07-20,Colorado,USA,6-6,214,10,18,Guard,2011,2011
1630215,Jared Butler,2000-08-25,Baylor,USA,6-3,193,0,13,Guard,2021,2021
202710,Jimmy Butler,1989-09-14,Marquette,USA,6-7,230,10,22,Forward,2011,2011
1629719,Devontae Cacok,1996-10-08,North Carolina-Wilmington,USA,6-7,240,2,18,Forward,2019,Undrafted
203484,Kentavious Caldwell-Pope,1993-02-18,Georgia,USA,6-5,204,8,1,Guard,2013,2013
1630267,Facundo Campazzo,1991-03-23,Murcia,Argentina,5-10,195,1,7,Guard,2020,Undrafted
1628427,Vlatko Cancar,1997-04-10,San Pablo Burgos,Slovenia,6-8,236,2,31,Forward,2019,2017
203991,Clint Capela,1994-05-18,Elan Chalon,Switzerland,6-10,256,7,15,Center,2014,2014
1630176,Vernon Carey Jr.,2001-02-25,Duke,USA,6-9,270,1,22,Forward-Center,2020,2020
1628975,Jevon Carter,1995-09-14,West Virginia,USA,6-1,200,3,5,Guard,2018,2018
1628976,Wendell Carter Jr.,1999-04-16,Duke,USA,6-10,270,3,34,Center-Forward,2018,2018
203487,Michael Carter-Williams,1991-10-10,Syracuse,USA,6-5,190,9,7,Guard,2013,2013
1630618,D.J. Carton,2000-08-05,Marquette,USA,,,0,,,,Undrafted
1627936,Alex Caruso,1994-02-28,Texas A&M,USA,6-5,186,4,6,Guard,2017,Undrafted
1626161,Willie Cauley-Stein,1993-08-18,Kentucky,USA,7-0,240,6,,Center,2015,2015
1630551,Justin Champagnie,2001-06-29,Pittsburgh,USA,6-6,206,0,11,Guard-Forward,2021,Undrafted
1629597,Zylan Cheatham,1995-11-17,Arizona State,USA,6-5,220,1,,Forward,2019,Undrafted
1629185,Chris Chiozza,1995-11-21,Florida,USA,5-11,175,3,2,Guard,2018,Undrafted
1627737,Marquese Chriss,1997-07-02,Washington,USA,6-9,240,5,35,Forward,2016,2016
1630528,Josh Christopher,2001-12-08,Arizona State,USA,6-3,215,0,9,Guard,2021,2021
1629634,Brandon Clarke,1996-09-19,Gonzaga,Canada,6-8,215,2,15,Forward,2019,2019
203903,Jordan Clarkson,1992-06-07,Missouri,USA,6-4,194,7,00,Guard,2014,2014
1629651,Nic Claxton,1999-04-17,Georgia,USA,6-11,215,2,33,Forward-Center,2019,2019
1629599,Amir Coffey,1997-06-17,Minnesota,USA,6-7,210,2,7,Guard-Forward,2019,Undrafted
1630645,Matt Coleman III,1998-01-22,Texas,USA,,,0,,,,Undrafted
1628381,John Collins,1997-09-23,Wake Forest,USA,6-9,226,4,20,Forward-Center,2017,2017
1628380,Zach Collins,1997-11-19,Gonzaga,USA,6-11,250,3,23,Forward-Center,2017,2017
201144,Mike Conley,1987-10-11,Ohio State,USA,6-1,175,14,11,Guard,2007,2007
1626192,Pat Connaughton,1993-01-06,Notre Dame,USA,6-5,209,6,24,Guard,2015,2015
1626188,Quinn Cook,1993-03-23,Duke,USA,6-1,180,6,,Guard,2016,Undrafted
1629076,Tyler Cook,1997-09-23,Iowa,USA,6-8,255,2,25,Forward,2019,Undrafted
1630536,Sharife Cooper,2001-06-11,Auburn,USA,6-1,176,0,2,Guard,2021,2021
1627822,Petr Cornelie,1995-07-26,France,France,6-11,220,0,,Forward,2021,2016
203496,Robert Covington,1990-12-14,Tennessee State,USA,6-7,209,8,23,Forward,2013,Undrafted
1628470,Torrey Craig,1990-12-19,South Carolina Upstate,USA,6-7,221,4,0,Forward,2017,Undrafted
203109,Jae Crowder,1990-07-06,Marquette,USA,6-6,235,9,99,Forward,2012,2012
1629633,Jarrett Culver,1999-02-20,Texas Tech,USA,6-6,195,2,23,Guard-Forward,2019,2019
1630595,Cade Cunningham,2001-09-25,Oklahoma State,USA,6-6,220,0,2,Guard,2021,2021
203099,Jared Cunningham,1991-05-22,Oregon State,USA,6-4,195,5,,Guard,2012,2012
203552,Seth Curry,1990-08-23,Duke,USA,6-2,185,7,30,Guard,2013,Undrafted
201939,Stephen Curry,1988-03-14,Davidson,USA,6-2,185,12,30,Guard,2009,2009
203076,Anthony Davis,1993-03-11,Kentucky,USA,6-10,253,9,3,Forward-Center,2012,2012
1629056,Terence Davis,1997-05-16,Mississippi,USA,6-4,201,2,3,Guard,2019,Undrafted
1629602,Javin DeLaurier,1998-04-07,Duke,USA,6-10,234,0,,Center,2021,Undrafted
201942,DeMar DeRozan,1989-08-07,Southern California,USA,6-6,220,12,11,Guard-Forward,2009,2009
1630466,Gabriel Deck,1995-02-08,                                   ,Argentina,6-6,231,1,,Forward,2020,Undrafted
203473,Dewayne Dedmon,1989-08-12,Southern California,USA,7-0,245,8,21,Center,2013,Undrafted
1626155,Sam Dekker,1994-05-06,Wisconsin,USA,6-8,219,4,,Forward,2015,2015
1628978,Donte DiVincenzo,1997-01-31,Villanova,USA,6-4,203,3,0,Guard,2018,2018
1629603,Mamadi Diakite,1997-01-21,Virginia,Guinea,6-9,228,1,,Forward,2020,Undrafted
1628977,Hamidou Diallo,1998-07-31,Kentucky,USA,6-5,202,3,6,Guard,2018,2018
203476,Gorgui Dieng,1990-01-18,Louisville,Senegal,6-10,248,8,10,Center,2013,2013
203915,Spencer Dinwiddie,1993-04-06,Colorado,USA,6-6,215,7,26,Guard,2014,2014
1629029,Luka Doncic,1999-02-28,Real Madrid,Slovenia,6-7,230,3,77,Forward-Guard,2018,2018
1629652,Luguentz Dort,1999-04-19,Arizona State,Canada,6-3,215,2,5,Guard,2019,Undrafted
1630245,Ayo Dosunmu,2000-01-17,Illinois,USA,6-4,200,0,12,Guard,2021,2021
1629653,Devon Dotson,1999-08-02,Kansas,USA,6-1,185,1,,Guard,2020,Undrafted
1629635,Sekou Doumbouya,2000-12-23,                                   ,France,6-9,230,2,,Forward,2019,2019
1630288,Jeff Dowtin,1997-05-10,Rhode Island,USA,6-3,177,0,,Guard,2021,Undrafted
1628408,P.J. Dozier,1996-10-25,South Carolina,USA,6-6,205,4,,Guard-Forward,2017,Undrafted
201609,Goran Dragic,1986-05-06,Union Olimpija,Slovenia,6-3,190,13,9,Guard,2008,2008
203083,Andre Drummond,1993-08-10,Connecticut,USA,6-10,279,9,0,Center,2012,2012
1630537,Chris Duarte,1997-06-13,Oregon,Dominican Republic,6-5,190,0,3,Guard,2021,2021
1630561,David Duke Jr.,1999-10-13,Providence,USA,6-4,204,0,6,Guard,2021,Undrafted
1627739,Kris Dunn,1994-03-18,Providence,USA,6-3,205,5,,Guard,2016,2016
201142,Kevin Durant,1988-09-29,Texas-Austin,USA,6-10,240,13,7,Forward,2007,2007
1630693,Jaime Echenique,1997-04-27,Wichita State,Colombia,6-10,258,0,,Center,2021,Undrafted
1630162,Anthony Edwards,2001-08-05,Georgia,USA,6-4,225,1,1,Guard,2020,2020
1630556,Kessler Edwards,2000-08-09,Pepperdine,USA,6-7,203,0,14,Forward,2021,2021
1630306,Rob Edwards,1997-01-20,Arizona State,USA,6-5,205,0,,Guard,2021,Undrafted
1629604,CJ Elleby,2000-06-16,Washington State,USA,6-6,200,1,16,Forward-Guard,2020,2020
201961,Wayne Ellington,1987-11-29,North Carolina,USA,6-4,207,12,2,Guard,2009,2009
203954,Joel Embiid,1994-03-16,Kansas,Cameroon,7-0,280,5,21,Center-Forward,2014,2014
1629234,Drew Eubanks,1997-02-01,Oregon State,USA,6-9,245,4,14,Forward-Center,2018,Undrafted
203957,Dante Exum,1995-07-13,                                   ,Australia,6-5,214,7,5,Guard,2014,2014
1629605,Tacko Fall,1995-12-10,Central Florida,Senegal,7-6,311,2,,Center,2019,Undrafted
202324,Derrick Favors,1991-07-15,Georgia Tech,USA,6-9,265,11,15,Forward,2010,2010
1628981,Bruno Fernando,1998-08-15,Maryland,Angola,6-9,240,2,20,Forward-Center,2019,2019
1627827,Dorian Finney-Smith,1993-05-04,Florida,USA,6-7,220,5,10,Forward,2016,Undrafted
1630238,Malik Fitts,1997-07-04,St. Mary's College,USA,6-5,230,1,8,Forward,2020,Undrafted
1630201,Malachi Flynn,1998-05-09,San Diego State,USA,6-1,175,1,22,Guard,2020,2020
1627854,Bryn Forbes,1993-07-23,Michigan State,USA,6-2,205,5,6,Guard,2016,Undrafted
1630235,Trent Forrest,1998-06-12,Florida State,USA,6-4,210,1,3,Guard,2020,Undrafted
203095,Evan Fournier,1992-10-29,Poitiers Basket 86,France,6-6,205,9,13,Guard-Forward,2012,2012
1628368,De'Aaron Fox,1997-12-20,Kentucky,USA,6-3,185,4,5,Guard,2017,2017
1628365,Markelle Fultz,1998-05-29,Washington,USA,6-4,209,4,20,Guard,2017,2017
1629117,Wenyen Gabriel,1997-03-26,Kentucky,South Sudan,6-9,205,2,35,Forward,2018,Undrafted
1629655,Daniel Gafford,1998-10-01,Arkansas,USA,6-9,234,2,21,Forward-Center,2019,2019
201568,Danilo Gallinari,1988-08-08,Olimpia Milano,Italy,6-10,236,12,8,Forward,2008,2008
204038,Langston Galloway,1991-12-09,St. Joseph's (PA),USA,6-1,200,7,,Guard,2014,Undrafted
1629636,Darius Garland,2000-01-26,Vanderbilt,USA,6-1,192,2,10,Guard,2019,2019
1630585,Marcus Garrett,1998-11-09,Kansas,USA,6-5,205,0,,Guard,2021,Undrafted
1630586,Usman Garuba,2002-03-09,Real Madrid,Spain,6-8,229,0,16,Forward,2021,2021
1630568,Luka Garza,1998-12-27,Iowa,USA,6-10,243,0,55,Center,2021,2021
200752,Rudy Gay,1986-08-17,Connecticut,USA,6-8,250,15,8,Forward-Guard,2006,2006
202331,Paul George,1990-05-02,Fresno State,USA,6-8,220,11,13,Forward,2010,2010
201959,Taj Gibson,1985-06-24,Southern California,USA,6-9,232,12,67,Forward,2009,2009
1630581,Josh Giddey,2002-10-10,NBA Global Academy,Australia,6-8,205,0,3,Guard,2021,2021
1628385,Harry Giles III,1998-04-22,Duke,USA,6-11,240,4,4,Forward-Center,2017,2017
1628983,Shai Gilgeous-Alexander,1998-07-12,Kentucky,Canada,6-6,180,3,2,Guard,2018,2018
1630264,Anthony Gill,1992-10-17,Virginia,USA,6-7,230,1,16,Forward,2020,Undrafted
1630273,Freddie Gillespie,1997-06-14,Baylor,USA,6-9,245,1,,Center,2020,Undrafted
203497,Rudy Gobert,1992-06-26,Cholet,France,7-1,258,8,27,Center,2013,2013
1630692,Jordan Goodwin,1998-10-23,St. Louis,USA,6-3,200,0,,Guard,2021,Undrafted
203932,Aaron Gordon,1995-09-16,Arizona,USA,6-8,235,7,50,Forward,2014,2014
201569,Eric Gordon,1988-12-25,Indiana,USA,6-3,215,13,10,Guard,2008,2008
1628984,Devonte' Graham,1995-02-22,Kansas,USA,6-1,195,3,4,Guard,2018,2018
203924,Jerami Grant,1994-03-12,Syracuse,USA,6-8,210,7,9,Forward,2014,2014
1629755,Hassani Gravett,1996-07-16,South Carolina,USA,6-2,187,0,,Guard,2021,2019
201980,Danny Green,1987-06-22,North Carolina,USA,6-6,215,12,14,Guard,2009,2009
203110,Draymond Green,1990-03-04,Michigan State,USA,6-6,230,9,23,Forward,2012,2012
203210,JaMychal Green,1990-06-21,Alabama,USA,6-8,227,7,0,Forward-Center,2014,Undrafted
1630224,Jalen Green,2002-02-09,NBA G League Ignite,USA,6-4,186,0,0,Guard,2021,2021
1629750,Javonte Green,1993-07-23,Radford,USA,6-5,205,2,24,Guard-Forward,2019,Undrafted
201145,Jeff Green,1986-08-28,Georgetown,USA,6-8,235,13,32,Forward,2007,2007
1630182,Josh Green,2000-11-16,Arizona,Australia,6-5,200,1,8,Guard,2020,2020
201933,Blake Griffin,1989-03-16,Oklahoma,USA,6-9,250,11,2,Forward,2009,2009
1629656,Quentin Grimes,2000-05-08,Houston,USA,6-4,210,0,6,Guard,2021,2021
1629657,Kyle Guy,1997-08-11,Virginia,USA,6-1,167,2,,Guard,2019,2019
1629060,Rui Hachimura,1998-02-08,Gonzaga,Japan,6-8,230,2,8,Forward,2019,2019
1630169,Tyrese Haliburton,2000-02-29,Iowa State,USA,6-5,185,1,0,Guard,2020,2020
1629148,Johnny Hamilton,1994-02-03,Texas-Arlington,USA,,,0,,,,Undrafted
1630181,R.J. Hampton,2001-02-07,New Zealand Breakers,USA,6-4,175,1,13,Guard,2020,2020
203501,Tim Hardaway Jr.,1992-03-16,Michigan,USA,6-5,205,8,11,Guard-Forward,2013,2013
201935,James Harden,1989-08-26,Arizona State,USA,6-5,220,12,1,Guard,2009,2009
203090,Maurice Harkless,1993-05-11,St. John's,USA,6-7,220,9,8,Forward-Guard,2012,2012
1629607,Jared Harper,1997-09-14,Auburn,USA,5-10,175,2,2,Guard,2019,Undrafted
1626149,Montrezl Harrell,1994-01-26,Louisville,USA,6-7,240,6,8,Forward-Center,2015,2015
203914,Gary Harris,1994-09-14,Michigan State,USA,6-4,210,7,14,Guard,2014,2014
203925,Joe Harris,1991-09-06,Virginia,USA,6-6,220,7,12,Guard-Forward,2014,2014
202699,Tobias Harris,1992-07-15,Tennessee,USA,6-7,226,10,12,Forward,2011,2011
1627885,Shaquille Harrison,1993-10-06,Tulsa,USA,6-4,195,4,,Guard,2017,Undrafted
1628404,Josh Hart,1995-03-06,Villanova,USA,6-5,215,4,11,Guard,2017,2017
1628392,Isaiah Hartenstein,1998-05-05,Zalgiris,Germany,7-0,250,3,55,Center-Forward,2018,2017
2617,Udonis Haslem,1980-06-09,Florida,USA,6-8,235,18,40,Forward,2003,Undrafted
1630573,Sam Hauser,1997-12-08,Virginia,USA,6-7,217,0,30,Forward,2021,Undrafted
1629637,Jaxson Hayes,2000-05-23,Texas-Austin,USA,6-11,220,2,10,Center-Forward,2019,2019
1630165,Killian Hayes,2001-07-27,Ratiopharm Ulm,France,6-5,195,1,7,Guard,2020,2020
202330,Gordon Hayward,1990-03-23,Butler,USA,6-7,225,11,20,Forward,2010,2010
1630565,Aaron Henry,1999-08-30,Michigan State,USA,6-5,210,0,,Forward,2021,Undrafted
1627823,Juancho Hernangomez,1995-09-28,Estudiantes,Spain,6-9,214,5,41,Forward,2016,2016
1626195,Willy Hernangomez,1994-05-27,Cajasol Sevilla,Spain,6-11,250,5,9,Center-Forward,2016,2015
1629639,Tyler Herro,2000-01-20,Kentucky,USA,6-5,195,2,14,Guard,2019,2019
1627741,Buddy Hield,1992-12-17,Oklahoma,Bahamas,6-4,220,5,24,Guard,2016,2016
201588,George Hill,1986-05-04,Indiana-Purdue Indianapolis,USA,6-4,188,13,3,Guard,2008,2008
203524,Solomon Hill,1991-03-18,Arizona,USA,6-6,226,8,,Forward,2013,2013
1630207,Nate Hinton,1999-06-08,Houston,USA,6-5,210,1,14,Guard-Forward,2020,Undrafted
1628988,Aaron Holiday,1996-09-30,UCLA,USA,6-0,185,3,4,Guard,2018,2018
201950,Jrue Holiday,1990-06-12,UCLA,USA,6-3,205,12,21,Guard,2009,2009
203200,Justin Holiday,1989-04-05,Washington,USA,6-6,180,8,9,Forward-Guard,2012,Undrafted
1626158,Richaun Holmes,1993-10-15,Bowling Green,USA,6-10,235,6,22,Forward,2015,2015
1629756,Daulton Hommes,1996-07-04,Point Loma,USA,,,0,,,,2019
203918,Rodney Hood,1992-10-20,Duke,USA,6-8,208,7,22,Guard-Forward,2014,2014
201143,Al Horford,1986-06-03,Florida,Dominican Republic,6-9,240,14,42,Center-Forward,2007,2007
1629659,Talen Horton-Tucker,2000-11-25,Iowa State,USA,6-4,234,2,5,Guard,2019,2019
1627863,Danuel House Jr.,1993-06-07,Texas A&M,USA,6-6,220,5,25,Forward-Guard,2016,Undrafted
2730,Dwight Howard,1985-12-08,SW Atlanta Christian Academy (GA),USA,6-10,265,17,39,Center-Forward,2004,2004
1630210,Markus Howard,1999-03-03,Marquette,USA,5-10,175,1,00,Guard,2020,Undrafted
1628989,Kevin Huerter,1998-08-27,Maryland,USA,6-7,198,3,3,Guard-Forward,2018,2018
1630643,Jay Huff,1997-08-25,Virginia,USA,7-1,240,0,,Forward,2021,Undrafted
1630190,Elijah Hughes,1998-03-10,Syracuse,USA,6-5,215,1,19,Guard,2020,2020
1630624,Feron Hunt,1999-07-05,Southern Methodist,USA,6-8,195,0,11,Forward,2021,Undrafted
1629631,De'Andre Hunter,1997-12-02,Virginia,USA,6-8,221,2,12,Forward-Guard,2019,2019
1628990,Chandler Hutchison,1996-04-26,Boise State,USA,6-6,210,4,1,Forward-Guard,2018,2018
1630538,Bones Hyland,2000-09-14,Virginia Commonwealth,USA,6-2,169,0,3,Guard,2021,2021
201586,Serge Ibaka,1989-09-18,Ricoh Manresa,Republic of the Congo,6-10,235,12,25,Forward,2009,2008
2738,Andre Iguodala,1984-01-28,Arizona,USA,6-6,215,17,9,Guard-Forward,2004,2004
204060,Joe Ingles,1987-10-02,Maccabi Tel Aviv,Australia,6-8,220,7,00,Forward-Guard,2014,Undrafted
1627742,Brandon Ingram,1997-09-02,Duke,USA,6-8,190,5,14,Forward,2016,2016
202681,Kyrie Irving,1992-03-23,Duke,Australia,6-2,195,10,11,Guard,2011,2011
1628371,Jonathan Isaac,1997-10-03,Florida State,USA,6-10,230,3,1,Forward,2017,2017
1628411,Wes Iwundu,1994-12-20,Kansas State,USA,6-6,195,4,,Forward,2017,2017
1628402,Frank Jackson,1998-05-04,Duke,USA,6-3,205,3,5,Guard,2017,2017
1630543,Isaiah Jackson,2002-01-10,Kentucky,USA,6-10,205,0,23,Forward,2021,2021
1628367,Josh Jackson,1997-02-10,Kansas,USA,6-8,207,4,55,Guard-Forward,2017,2017
202704,Reggie Jackson,1990-04-16,Boston College,USA,6-2,208,10,1,Guard,2011,2011
1628991,Jaren Jackson Jr.,1999-09-15,Michigan State,USA,6-11,242,3,13,Forward-Center,2018,2018
2544,LeBron James,1984-12-30,St. Vincent-St. Mary HS (OH),USA,6-9,250,18,6,Forward,2003,2003
1630610,DeJon Jarreau,1998-01-23,Houston,USA,6-5,185,0,,Guard,2021,Undrafted
1629660,Ty Jerome,1997-07-08,Virginia,USA,6-5,195,2,16,Guard-Forward,2019,2019
1630198,Isaiah Joe,1999-07-02,Arkansas,USA,6-4,165,1,7,Guard,2020,2020
1628993,Alize Johnson,1996-04-22,Missouri State,USA,6-8,212,3,,Forward,2018,2018
1629661,Cameron Johnson,1996-03-03,North Carolina,USA,6-8,210,2,23,Forward,2019,2019
1630525,David Johnson,2001-02-26,Louisville,USA,6-4,203,0,13,Guard,2021,2021
1630552,Jalen Johnson,2001-12-18,Duke,USA,6-8,219,0,1,Forward,2021,2021
201949,James Johnson,1987-02-20,Wake Forest,USA,6-7,240,12,,Forward,2009,2009
